 # MagPy - ASCII
 # DigitalSamplingWidth:  45 sec
 # DataInterval:  60 sec
 # DigitalSamplingFilter:  gauss
# head:
-[],x[nT],y[nT],z[nT],f[nT],-[],-[],-[],-[],-[],-[],-[],-[],-[],-[],-[],-[],-[],-[],-[],-[],-[],-[],-[]
# data:
2011-09-08T00:49:00.000000,nan,nan,nan,48520.8186,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-,-,-,-,000000000-,-,xyzf,nan
2011-09-08T00:50:00.000000,nan,nan,nan,48520.7888135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-,-,-,-,000000000-,-,xyzf,nan
2011-09-08T00:51:00.000000,nan,nan,nan,48520.7726301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-,-,-,-,000000000-,-,xyzf,nan
2011-09-08T00:52:00.000000,nan,nan,nan,48520.7889605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-,-,-,-,000000000-,-,xyzf,nan
2011-09-08T00:53:00.000000,nan,nan,nan,48520.717631,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-,-,-,-,000000000-,-,xyzf,nan
2011-09-08T00:54:00.000000,nan,nan,nan,48520.6750181,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-,-,-,-,000000000-,-,xyzf,nan
2011-09-08T00:55:00.000000,nan,nan,nan,48520.5580209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-,-,-,-,000000000-,-,xyzf,nan
2011-09-08T00:56:00.000000,nan,nan,nan,48520.4967046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-,-,-,-,000000000-,-,xyzf,nan
2011-09-08T00:57:00.000000,nan,nan,nan,48520.489455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-,-,-,-,000000000-,-,xyzf,nan
2011-09-08T00:58:00.000000,nan,nan,nan,48520.3900261,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-,-,-,-,000000000-,-,xyzf,nan
