
Gem Systems GSM-19W 3101329 v6.0 24 X 2003 
ID 1 file 23c-ost .b   09 VII10
datum  48000.00


115625.0  48484.95 99
115626.0  48485.12 99
115627.0  48485.20 99
115628.0  48485.05 99
115629.0  48485.36 99
115630.0  48485.15 99
115631.0  48484.89 99
115632.0  48484.02 99
115633.0  48483.53 99
115634.0  48483.32 99
115635.0  48483.72 99
115636.0  48483.33 99
115637.0  48482.99 99
115638.0  48483.63 99
115639.0  48483.92 99
115640.0  48484.60 99
115641.0  48484.90 99
115642.0  48484.80 99
115643.0  48484.89 99
115644.0  48485.09 99
115645.0  48487.33 99
115646.0  48488.98 99
115647.0  48489.34 99
115648.0  48489.65 99
115649.0  48489.75 99
115650.0  48489.74 99
115651.0  48489.58 99
115652.0  48488.90 99
115653.0  48488.33 99
115654.0  48487.80 99
115655.0  48487.01 99
115656.0  48487.39 99
115657.0  48487.48 99
115658.0  48487.52 99
115659.0  48487.17 99
115700.0  48486.85 99
115701.0  48486.94 99
115702.0  48487.22 99
115703.0  48487.30 99
115704.0  48487.61 99
115705.0  48487.96 99
115706.0  48488.46 99
115707.0  48488.71 99
115708.0  48488.70 99
115709.0  48487.95 99
115710.0  48487.73 99
115711.0  48487.77 99
115712.0  48487.93 99
115713.0  48487.85 99
115714.0  48488.43 99
115715.0  48488.63 99
115716.0  48488.29 99
115717.0  48487.40 99
115718.0  48487.82 99
115719.0  48488.58 99
115720.0  48488.67 99
115721.0  48487.59 99
115722.0  48486.47 99
115723.0  48486.32 99
115724.0  48486.62 99
115725.0  48486.38 99
115726.0  48486.54 99
115727.0  48486.60 99
115728.0  48486.74 99
115729.0  48486.70 99
115730.0  48486.87 99
115731.0  48487.11 99
115732.0  48487.69 99
115733.0  48487.71 99
115734.0  48487.81 99
115735.0  48487.57 99
115736.0  48487.43 99
115737.0  48487.04 99
115738.0  48487.10 99
115739.0  48487.34 99
115740.0  48487.60 99
115741.0  48487.29 99
115742.0  48488.56 99
115743.0  48489.30 99
115744.0  48489.36 99
115745.0  48489.21 99
115746.0  48489.02 99
115747.0  48488.79 99
115748.0  48488.50 99
115749.0  48487.92 99
115750.0  48488.01 99
115751.0  48487.90 99
115752.0  48487.78 99
115753.0  48488.28 99
115754.0  48488.20 99
115755.0  48488.21 99
115756.0  48488.57 99
115757.0  48488.29 99
115758.0  48487.94 99
115759.0  48487.34 99
115800.0  48486.88 99
115801.0  48487.05 99
115802.0  48486.77 99
115803.0  48486.85 99
115804.0  48486.94 99
115805.0  48486.72 99
