
Gem Systems GSM-19W 3101329 v6.0 24 X 2003 
ID 1 file 24c-sch .b   09 VII10
datum  48000.00


123921.0  48540.78 99
123922.0  48538.36 99
123923.0  48537.69 99
123924.0  48538.53 99
123925.0  48540.15 99
123926.0  48541.83 99
123927.0  48540.43 99
123928.0  48538.75 99
123929.0  48536.86 99
123930.0  48536.53 99
123931.0  48537.44 99
123932.0  48539.49 99
123933.0  48540.59 99
123934.0  48540.07 99
123935.0  48539.29 99
123936.0  48537.90 99
123937.0  48537.62 99
123938.0  48539.43 99
123939.0  48541.22 99
123940.0  48544.04 99
123941.0  48543.80 99
123942.0  48543.64 99
123943.0  48542.54 99
123944.0  48541.69 99
123945.0  48542.69 99
123946.0  48544.32 99
123947.0  48546.38 99
123948.0  48545.54 99
123949.0  48543.74 99
123950.0  48540.75 99
123951.0  48541.17 99
123952.0  48542.21 99
123953.0  48544.97 99
123954.0  48545.55 99
123955.0  48543.90 99
123956.0  48542.64 99
123957.0  48540.72 99
123958.0  48539.99 99
123959.0  48540.72 99
124000.0  48541.18 99
124001.0  48542.32 99
124002.0  48543.13 99
124003.0  48541.90 99
124004.0  48539.61 99
124005.0  48537.91 99
124006.0  48538.12 99
124007.0  48539.51 99
124008.0  48541.69 99
124009.0  48540.73 99
124010.0  48539.30 99
124011.0  48537.34 99
124012.0  48537.87 99
124013.0  48539.41 99
124014.0  48541.62 99
124015.0  48542.32 99
124016.0  48540.98 99
124017.0  48538.42 99
124018.0  48537.73 99
124019.0  48538.81 99
124020.0  48540.40 99
124021.0  48541.69 99
124022.0  48539.95 99
124023.0  48538.02 99
124024.0  48536.24 99
124025.0  48537.23 99
124026.0  48538.97 99
124027.0  48541.46 99
124028.0  48540.82 99
124029.0  48539.31 99
124030.0  48537.53 99
124031.0  48538.68 99
124032.0  48540.16 99
124033.0  48541.53 99
124034.0  48542.59 99
124035.0  48541.45 99
124036.0  48540.13 99
124037.0  48539.10 99
124038.0  48540.05 99
124039.0  48541.03 99
124040.0  48541.90 99
124041.0  48543.39 99
124042.0  48541.42 99
124043.0  48539.79 99
124044.0  48537.75 99
124045.0  48537.86 99
124046.0  48539.47 99
124047.0  48540.99 99
124048.0  48542.58 99
124049.0  48541.80 99
124050.0  48540.08 99
124051.0  48538.96 99
124052.0  48539.82 99
124053.0  48540.55 99
124054.0  48542.25 99
124055.0  48543.60 99
124056.0  48542.05 99
124057.0  48540.72 99
124058.0  48538.90 99
124059.0  48540.53 99
124100.0  48542.19 99
124101.0  48543.80 99
124102.0  48545.14 99
124103.0  48543.02 99
124104.0  48541.37 99
124105.0  48538.89 99
124106.0  48539.65 99
124107.0  48541.02 99
124108.0  48542.36 99
124109.0  48543.77 99
124110.0  48542.90 99
124111.0  48542.07 99
124112.0  48540.96 99
124113.0  48541.54 99
124114.0  48541.89 99
124115.0  48543.64 99
124116.0  48543.32 99
124117.0  48540.69 99
124118.0  48538.44 99
124119.0  48536.41 99
124120.0  48537.79 99
124121.0  48539.58 99
124122.0  48542.02 99
124123.0  48540.67 99
124124.0  48539.32 99
124125.0  48536.92 99
124126.0  48537.91 99
124127.0  48539.14 99
124128.0  48542.14 99
124129.0  48541.06 99
124130.0  48539.79 99
124131.0  48537.06 99
124132.0  48536.92 99
124133.0  48537.81 99
124134.0  48540.48 99
124135.0  48541.19 99
124136.0  48539.76 99
124137.0  48537.87 99
124138.0  48535.46 99
124139.0  48536.32 99
124140.0  48537.69 99
