 # MagPy - ASCII
 # StationID:  WIC
 # DataPier:  A2
 # DataFormat:  MagPyDI
 # DataType:  MagPyDI1.0
 # DataComponents:  IDFF
 # DataID:  BLV_LEMI036_1_0002_GP20S3NSS2_012201_0001_A2
 # SensorID:  BLV_LEMI036_1_0002_GP20S3NSS2_012201_0001_A2
 # DataSamplingRate:  1980.0
# head:
Epoch[],i[deg],d[deg],f[nT],f[nT],T[deg C],ScaleValueDI[deg/unit],Dec_S0[],Dec_deltaH[],Dec_epsilonZ[],Inc_S0[],Inc_epsilonZ[],H-base[nT],D-base[deg],Z-base[nT],dF[],Person[],DI-Inst[],Mire[],F-type[],-[],-[],-[],-[]
# data:
2023-05-10T09:57:00.000000,64.45894849520232,4.93064596549338,48882.01359117821,48882.01359117821,7.3,0.989726380576773,6.176582539047307,2.2337106662659783,64.83989628229935,7.1173243838905424,64.51875059591639,23.53561736174379,3.673662666239832,-20.991603278649563,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-05-10T10:21:00.000000,64.44032720319241,4.884803655534105,48885.73712465066,48885.73712465066,7.3,0.9690356293394575,5.711832322682629,4.233172882085644,64.89012205552473,6.9827541613227835,63.44367030061165,21.380473226749018,3.680720803648168,-20.63236992390739,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-05-16T11:27:36.000000,64.44605257171025,4.831913915307548,48867.90805808233,48867.90805808233,7.3,1.0049265753200511,5.93676357824145,2.604706038520912,63.338745587712346,5.833139533894237,64.53644189383557,22.96787897052127,3.6763477138231875,-20.70550215388357,nan,Mustermann,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.13722222222222,Fext,-,-,idff,nan
2023-05-16T11:58:06.000000,64.44731921511956,4.807700442046503,48870.25666735871,48870.25666735871,7.3,0.9980891803150764,5.95192474993806,3.225632890968736,63.88857455120897,5.401758222131575,64.52239511019518,23.199623725467973,3.673618998946719,-21.05177721256041,nan,Mustermann,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.13722222222222,Fext,-,-,idff,nan
2023-05-16T12:40:06.000000,64.4492323061882,4.80111411450262,48873.67725814716,48873.67725814716,7.3,1.006502466787631,-2.8703194035079878,6.4788955308254685,-15.894092932932157,-0.47870320993503546,-17.219956419305124,24.170589669025503,3.671195586130548,-21.40107761246327,nan,Mustermann,T010B_154167_03-2019_MAG01H_378_0619H_03-2016,180.13722222222222,Fext,-,-,idff,nan
2023-05-16T13:02:36.000000,64.44666746108075,4.800627192586728,48877.56475432191,48877.56475432191,7.3,0.999229657864559,-2.6236159815435713,6.314050875565368,-15.950781544643323,0.06595166741029744,-17.89763369036817,23.940524949328392,3.671439042020492,-21.298720080783824,nan,Mustermann,T010B_154167_03-2019_MAG01H_378_0619H_03-2016,180.13722222222222,Fext,-,-,idff,nan
2023-05-17T07:21:00.000000,64.47293510363914,4.9814710732875245,48879.51358061908,48879.51358061908,7.3,0.9875831853085131,-3.609888906462084,-16.292408730702565,-19.755352478865518,-3.0023015627670224,-20.444692511556863,23.37874574883972,3.6738780478260904,-20.98375553308142,nan,Musterfrau,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.13725,Fext,-,-,idff,nan
2023-05-17T07:44:00.000000,64.47543910222709,4.972445601680242,48877.6615730765,48877.6615730765,7.3,0.9868746139760153,-3.4261262971562783,-15.962912831545026,-20.189026073802637,-3.0210590888038866,-20.76004600256408,22.775222492324247,3.6742230500533677,-20.660985092064948,nan,Musterfrau,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.13725,Fext,-,-,idff,nan
2023-05-22T06:16:00.000000,64.48612794848599,4.997135900155458,48893.98595499712,48893.98595499712,7.3,1.01258887793133,-3.5627086006460034,-14.645509208994417,-22.558399534704545,-3.2693575600629208,-23.168180864652665,23.135085600410093,3.674488820077809,-20.82123802851129,nan,Musterfrau,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.13725,Fext,-,-,idff,nan
2023-05-22T06:39:00.000000,64.4905317374249,4.998270009438042,48893.48914628621,48893.48914628621,7.3,0.9910255362471889,-3.2648586728924553,-14.262996845032989,-23.431905673711007,-2.869014711947636,-23.741190897333883,23.036352476396132,3.6737974993615805,-20.710912915827066,nan,Musterfrau,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.13725,Fext,-,-,idff,nan
2023-05-31T07:30:00.000000,64.4677281960236,5.015002504537563,48880.68787939374,48880.68787939374,7.3,0.9961942530739842,-3.638629069987953,-14.806613558469316,-14.596227254438565,-3.4361462870463084,-15.130645954907424,23.20379249191683,3.6739566420961296,-20.84517405279621,nan,Musterfrau,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.13725,Fext,-,-,idff,nan
