 # MagPy - ASCII
 # DataPier:  A2
 # DataComponents:  IDFF
 # StationID:  WIC
 # DataFormat:  MagPyDI
# head:
Epoch[],i[deg],d[deg],f[nT],f[nT],T[deg C],ScaleValueDI[deg/unit],Dec_S0[],Dec_deltaH[],Dec_epsilonZ[],Inc_S0[],Inc_epsilonZ[],H-base[nT],D-base[deg],Z-base[nT],dF[],Person[],DI-Inst[],Mire[],F-type[],-[],-[],-[],-[]
# data:
2015-10-28T09:27:59.961597,64.2872813162,3.91105071885,48485.6415344,48485.6415344,6.8,0.987651282433,0.464968329538,-4.19420548928,13.6525848068,0.0795048228738,15.4863828627,20959.2421569,3.86333173234,43568.7493087,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-10-28T09:58:00.019195,64.2914719695,3.88874968374,48479.9722828,48479.9722828,6.8,0.976168787074,1.0983227494,-4.24762127813,13.1083324336,1.68943621304,13.3053878409,20959.1633958,3.86630490628,43568.8256085,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-11-04T08:10:00.019199,64.3041824935,3.85893526559,48492.7776582,48492.7776582,6.8,0.964210863259,-3.48804201001,-3.5024485556,13.5866842279,1.76102075941,12.7747372396,20959.6786225,3.86636236482,43568.4733367,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-11-04T08:41:00.038400,64.3066971841,3.86378368891,48488.9851922,48488.9851922,6.8,0.980889271198,1.37716792543,-3.32711894138,11.7823864901,2.42935053048,12.0796256279,20959.5917965,3.86674770519,43568.5001281,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-11-11T08:24:00.000000,64.3094834708,3.93048328372,48487.9045249,48487.9045249,6.9,1.01076132137,1.15534403776,-3.95155541755,13.0254896323,2.35215337106,12.4214655779,20959.2179497,3.86595935454,43568.69256,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-11-11T08:55:00.019199,64.3137770603,3.90003951229,48486.393177,48486.393177,6.9,1.02771246341,1.82496118133,-3.65614522966,12.0678929029,2.67252253891,11.2688357497,20959.2548736,3.86681595751,43568.7486195,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-11-19T07:30:00.000000,64.2852807563,3.90509226583,48501.8635921,48501.8635921,6.8,1.00141990378,0.90701656233,-3.77817284124,12.6566111425,1.07653116191,11.6784543683,20958.6686329,3.86658504602,43568.8824994,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-11-19T08:01:00.019201,64.2840103236,3.90791124886,48500.619896,48500.619896,6.8,0.991251576179,1.27945852186,-3.49959282528,10.9328079631,1.84361158073,10.7119595357,20958.7913122,3.86588023345,43568.7769486,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-11-19T08:44:59.971196,64.289598553,3.91121752971,48493.1535047,48493.1535047,6.8,0.98975344221,2.35605095411,-1.69127473337,-13.5518178061,2.42665345615,-15.082980813,20959.3324319,3.86701338559,43568.5092103,nan,Herzog,WILD_231067_07-2011_MAG01H_562_1024H_07-2011,180.1372,Fext,0000000000000000-,-,idff,-
2015-11-19T09:20:59.971198,64.2934492645,3.90728918662,48488.4407304,48488.4407304,6.8,1.02564066241,2.10506992243,-2.11672679813,-13.11997478,2.56893731861,-14.8209495553,20959.0964461,3.86752435737,43568.6560476,nan,Herzog,WILD_231067_07-2011_MAG01H_562_1024H_07-2011,180.1372,Fext,0000000000000000-,-,idff,-
